oferta,demanda,ndvi,poblacion,precip_anual,n_pozos,derechos_otorgados,indice
9755.96,25.57,0.78,12445,2752.77,12,21.73,4.8
5497.51,26.25,0.78,12776,2567.33,12,22.31,5.0
397.73,1.01,0.78,492,2183.34,12,0.86,4.8
8528.36,41.96,0.78,20417,1409.17,12,35.67,5.0
4632.59,40.82,0.78,19864,946.61,12,34.7,5.1
532.47,2.58,0.78,1256,1955.35,12,2.19,5.0
8170.56,26.84,0.78,13060,2361.77,12,22.81,4.9
10179.45,31.62,0.78,15387,2024.47,12,26.88,4.8
2574.49,22.75,0.78,11068,2537.77,12,19.34,5.2
3181.28,13.36,0.78,6499,2214.3,12,11.36,4.9
4369.71,11.39,0.78,5544,2612.58,12,9.68,4.8
1472.52,5.23,0.78,2546,2460.85,12,4.45,4.9
5874.73,16.36,0.78,7961,2872.44,12,13.91,4.8
3943.3,13.49,0.78,6564,2666.66,12,11.47,4.9
175.8,109.71,0.28,13509,477.82,450,93.25,47.4
5.76,1.8,0.78,878,2949.9,12,1.53,18.6
50.0,22.89,0.28,2819,200.0,80,19.46,38.4
35.7,15.92,0.78,7751,2680.25,12,13.53,27.4
3.5,2.24,0.78,1089,2421.29,12,1.9,31.9
8.3,4.03,0.78,1960,2551.55,12,3.43,27.0
35159.59,49.67,0.78,24176,2095.38,12,42.22,4.7
16124.51,64.43,0.78,31358,2268.13,12,54.77,4.8
287.08,127.62,0.78,509852,2479.97,12,108.48,29.6
50.0,43.41,0.28,5345,200.0,80,36.9,60.7
8591.03,43.84,0.78,21333,1668.67,12,37.26,5.0
50.0,6.74,0.28,829,200.0,80,5.73,20.9
424.97,45.44,0.28,5595,889.79,80,38.62,19.5
118.61,41.38,0.28,5095,644.55,80,35.17,32.5
1686.03,997.76,0.28,713081,370.37,450,848.1,49.0
6358.97,973.86,0.28,338021,673.63,450,827.78,23.0
245.75,477.95,0.28,54802,282.69,450,406.26,79.1
1151.8,643.52,0.28,60333,627.92,450,546.99,45.2
146.6,228.33,0.28,26180,377.86,450,194.08,77.2
11.43,175.64,0.28,20138,112.55,450,149.29,84.3
538.53,514.83,0.28,59031,516.2,450,437.61,66.4
121.05,250.12,0.28,28679,292.54,450,212.6,79.7
7.07,186.98,0.28,21439,157.34,450,158.93,84.4
4464.3,1524.19,0.28,303947,548.32,450,1295.56,33.9
0.0,101.97,0.28,12555,39.48,450,86.67,83.6
0.08,245.71,0.28,28174,53.52,450,208.85,84.4
1.09,389.06,0.28,44609,71.78,450,330.7,84.3
0.0,81.29,0.28,10009,59.94,80,69.1,83.6
26.23,292.12,0.28,33494,225.68,450,248.3,84.5
206.36,306.19,0.28,35107,220.08,450,260.26,76.8
319.32,598.8,0.28,68658,379.24,450,508.98,78.7
1.74,132.88,0.28,15236,86.7,450,112.95,84.4
229.41,563.96,0.28,64663,304.69,450,479.37,81.7
536.12,632.96,0.28,45695,290.56,450,538.02,72.1
324.07,289.19,0.28,33157,310.42,450,245.81,62.8
1112.89,662.59,0.28,10552280,386.18,450,563.2,67.4
154.2,213.74,0.28,24507,215.67,450,181.68,75.2
686.13,303.47,0.28,34795,456.54,450,257.95,38.8
83.59,145.35,0.28,16666,67.12,450,123.55,78.1
1856.57,787.19,0.28,90260,443.6,450,669.11,37.8
753.77,436.34,0.28,50031,357.99,450,370.89,46.2
952.11,550.6,0.28,63131,368.23,450,468.01,46.2
734.22,475.99,0.2,419528,118.34,1200,404.59,63.9
1360.81,1437.89,0.28,164869,179.6,450,1222.21,70.0
577.17,561.63,0.28,64396,262.23,450,477.39,67.2
414.64,562.48,0.28,64494,202.78,450,478.11,75.3
3046.96,2081.79,0.28,238698,355.06,450,1769.52,51.8
2364.91,2230.44,0.28,255742,364.35,450,1895.87,65.8
946.56,1746.12,0.28,1301855,220.47,450,1484.2,86.7
44.25,448.21,0.28,140827,37.4,450,380.98,84.3
174.41,759.19,0.28,87049,106.93,450,645.31,84.4
